session,run,order,image_path,is_repeat,image_id,repetition_num
1,7,14,/storage/bigdata/NSD_stimulus/train2017/000000543494.jpg,1,38,1
1,7,15,/storage/bigdata/NSD_stimulus/train2017/000000448220.jpg,1,29,2
1,7,16,/storage/bigdata/NSD_stimulus/train2017/000000065953.jpg,1,32,2
1,7,17,/storage/bigdata/NSD_stimulus/train2017/000000231748.jpg,1,130,1
1,7,18,/storage/bigdata/NSD_stimulus/train2017/000000400039.jpg,1,149,2
1,7,19,/storage/bigdata/NSD_stimulus/train2017/000000126973.jpg,1,34,2
1,7,20,/storage/bigdata/NSD_stimulus/train2017/000000219484.jpg,1,45,2
1,7,21,/storage/bigdata/NSD_stimulus/train2017/000000266043.jpg,1,36,2
1,7,22,/storage/bigdata/NSD_stimulus/train2017/000000064906.jpg,1,59,1
1,7,23,/storage/bigdata/NSD_stimulus/train2017/000000372172.jpg,1,55,2
1,7,24,/storage/bigdata/NSD_stimulus/train2017/000000088748.jpg,1,47,2
1,7,25,/storage/bigdata/NSD_stimulus/train2017/000000307510.jpg,1,49,1
1,7,26,/storage/bigdata/NSD_stimulus/train2017/000000128813.jpg,1,52,1
1,7,27,/storage/bigdata/NSD_stimulus/train2017/000000234147.jpg,1,42,1
1,7,28,/storage/bigdata/NSD_stimulus/train2017/000000326073.jpg,1,48,2
1,7,29,/storage/bigdata/NSD_stimulus/train2017/000000492170.jpg,1,50,2
1,7,30,/storage/bigdata/NSD_stimulus/train2017/000000064906.jpg,1,59,2
1,7,31,/storage/bigdata/NSD_stimulus/train2017/000000396681.jpg,1,62,2
1,7,32,/storage/bigdata/NSD_stimulus/train2017/000000564926.jpg,1,43,1
1,7,33,/storage/bigdata/NSD_stimulus/train2017/000000109580.jpg,1,44,1
1,7,34,/storage/bigdata/NSD_stimulus/train2017/000000372172.jpg,1,55,1
1,7,35,/storage/bigdata/NSD_stimulus/train2017/000000210693.jpg,1,56,1
1,7,36,/storage/bigdata/NSD_stimulus/train2017/000000220214.jpg,1,65,2
1,7,37,/storage/bigdata/NSD_stimulus/train2017/000000133194.jpg,1,70,1
1,7,38,/storage/bigdata/NSD_stimulus/train2017/000000333412.jpg,1,74,2
1,7,39,/storage/bigdata/NSD_stimulus/train2017/000000581884.jpg,1,54,1
1,7,40,/storage/bigdata/NSD_stimulus/train2017/000000287117.jpg,1,51,2
1,7,41,/storage/bigdata/NSD_stimulus/train2017/000000057535.jpg,1,67,2
1,7,42,/storage/bigdata/NSD_stimulus/train2017/000000527557.jpg,1,61,2
1,7,43,/storage/bigdata/NSD_stimulus/train2017/000000205716.jpg,1,69,1
1,7,44,/storage/bigdata/NSD_stimulus/train2017/000000032603.jpg,1,57,2
1,7,45,/storage/bigdata/NSD_stimulus/train2017/000000527557.jpg,1,61,1
1,7,46,/storage/bigdata/NSD_stimulus/train2017/000000575610.jpg,1,66,1
1,7,47,/storage/bigdata/NSD_stimulus/train2017/000000057535.jpg,1,67,1
1,7,48,/storage/bigdata/NSD_stimulus/train2017/000000522930.jpg,1,75,2
1,7,49,/storage/bigdata/NSD_stimulus/train2017/000000538272.jpg,1,18,1
1,7,50,/storage/bigdata/NSD_stimulus/train2017/000000474963.jpg,1,53,1
1,7,51,/storage/bigdata/NSD_stimulus/train2017/000000205716.jpg,1,69,2
1,7,52,/storage/bigdata/NSD_stimulus/train2017/000000234343.jpg,1,58,2
1,7,53,/storage/bigdata/NSD_stimulus/train2017/000000518499.jpg,1,71,2
1,7,54,/storage/bigdata/NSD_stimulus/train2017/000000012966.jpg,1,72,1
1,7,55,/storage/bigdata/NSD_stimulus/train2017/000000178598.jpg,1,73,2
1,7,56,/storage/bigdata/NSD_stimulus/train2017/000000300428.jpg,1,63,1
1,7,57,/storage/bigdata/NSD_stimulus/train2017/000000509563.jpg,1,68,2
1,7,58,/storage/bigdata/NSD_stimulus/train2017/000000456350.jpg,1,76,1
1,7,59,/storage/bigdata/NSD_stimulus/train2017/000000456350.jpg,1,76,2
1,7,60,/storage/bigdata/NSD_stimulus/train2017/000000222295.jpg,1,83,2
1,7,61,/storage/bigdata/NSD_stimulus/train2017/000000209503.jpg,1,64,1
1,7,62,/storage/bigdata/NSD_stimulus/train2017/000000234536.jpg,1,78,2
1,8,1,/storage/bigdata/NSD_stimulus/train2017/000000373283.jpg,1,81,2
1,8,2,/storage/bigdata/NSD_stimulus/train2017/000000165012.jpg,1,82,2
1,8,3,/storage/bigdata/NSD_stimulus/train2017/000000178598.jpg,1,73,1
1,8,4,/storage/bigdata/NSD_stimulus/val2017/000000001818.jpg,1,77,2
1,8,5,/storage/bigdata/NSD_stimulus/train2017/000000160624.jpg,1,79,1
1,8,6,/storage/bigdata/NSD_stimulus/train2017/000000373283.jpg,1,81,1
1,8,7,/storage/bigdata/NSD_stimulus/train2017/000000254396.jpg,1,181,1
1,8,8,/storage/bigdata/NSD_stimulus/train2017/000000220214.jpg,1,65,1
1,8,9,/storage/bigdata/NSD_stimulus/train2017/000000509563.jpg,1,68,1
1,8,10,/storage/bigdata/NSD_stimulus/train2017/000000012966.jpg,1,72,2
1,8,11,/storage/bigdata/NSD_stimulus/train2017/000000199688.jpg,1,165,2
1,8,12,/storage/bigdata/NSD_stimulus/train2017/000000044831.jpg,1,85,2
1,8,13,/storage/bigdata/NSD_stimulus/train2017/000000501269.jpg,1,80,1
1,8,14,/storage/bigdata/NSD_stimulus/train2017/000000416598.jpg,1,146,2
1,8,15,/storage/bigdata/NSD_stimulus/val2017/000000001818.jpg,1,77,1
1,8,16,/storage/bigdata/NSD_stimulus/train2017/000000222295.jpg,1,83,1
1,8,17,/storage/bigdata/NSD_stimulus/train2017/000000132310.jpg,1,89,2
1,8,18,/storage/bigdata/NSD_stimulus/train2017/000000483374.jpg,1,94,1
1,8,19,/storage/bigdata/NSD_stimulus/train2017/000000480153.jpg,1,84,1
1,8,20,/storage/bigdata/NSD_stimulus/train2017/000000480153.jpg,1,84,2
1,8,21,/storage/bigdata/NSD_stimulus/train2017/000000160624.jpg,1,79,2
1,8,22,/storage/bigdata/NSD_stimulus/train2017/000000430428.jpg,1,86,1
1,8,23,/storage/bigdata/NSD_stimulus/train2017/000000532015.jpg,1,96,1
1,8,24,/storage/bigdata/NSD_stimulus/val2017/000000396205.jpg,1,87,1
1,8,25,/storage/bigdata/NSD_stimulus/train2017/000000483374.jpg,1,94,2
1,8,26,/storage/bigdata/NSD_stimulus/train2017/000000325237.jpg,1,95,2
1,8,27,/storage/bigdata/NSD_stimulus/train2017/000000532015.jpg,1,96,2
1,8,28,/storage/bigdata/NSD_stimulus/train2017/000000380477.jpg,1,123,1
1,8,29,/storage/bigdata/NSD_stimulus/train2017/000000165012.jpg,1,82,1
1,8,30,/storage/bigdata/NSD_stimulus/train2017/000000313846.jpg,1,88,2
1,8,31,/storage/bigdata/NSD_stimulus/train2017/000000414853.jpg,1,107,2
1,8,32,/storage/bigdata/NSD_stimulus/train2017/000000430428.jpg,1,86,2
1,8,33,/storage/bigdata/NSD_stimulus/train2017/000000393338.jpg,1,90,2
1,8,34,/storage/bigdata/NSD_stimulus/train2017/000000052153.jpg,1,198,2
1,8,35,/storage/bigdata/NSD_stimulus/train2017/000000175583.jpg,1,91,1
1,8,36,/storage/bigdata/NSD_stimulus/train2017/000000371730.jpg,1,98,2
1,8,37,/storage/bigdata/NSD_stimulus/train2017/000000555843.jpg,1,100,1
1,8,38,/storage/bigdata/NSD_stimulus/train2017/000000132310.jpg,1,89,1
1,8,39,/storage/bigdata/NSD_stimulus/train2017/000000336406.jpg,1,99,1
1,8,40,/storage/bigdata/NSD_stimulus/train2017/000000219943.jpg,1,92,1
1,8,41,/storage/bigdata/NSD_stimulus/train2017/000000325237.jpg,1,95,1
1,8,42,/storage/bigdata/NSD_stimulus/train2017/000000491241.jpg,1,101,2
1,8,43,/storage/bigdata/NSD_stimulus/train2017/000000131815.jpg,1,105,2
1,8,44,/storage/bigdata/NSD_stimulus/train2017/000000363654.jpg,1,109,2
1,8,45,/storage/bigdata/NSD_stimulus/train2017/000000354932.jpg,1,244,1
1,8,46,/storage/bigdata/NSD_stimulus/train2017/000000393338.jpg,1,90,1
1,8,47,/storage/bigdata/NSD_stimulus/train2017/000000175583.jpg,1,91,2
1,8,48,/storage/bigdata/NSD_stimulus/train2017/000000214577.jpg,1,93,1
1,8,49,/storage/bigdata/NSD_stimulus/train2017/000000205811.jpg,1,97,2
1,8,50,/storage/bigdata/NSD_stimulus/train2017/000000555843.jpg,1,100,2
1,8,51,/storage/bigdata/NSD_stimulus/train2017/000000491241.jpg,1,101,1
1,8,52,/storage/bigdata/NSD_stimulus/train2017/000000384961.jpg,1,104,1
1,8,53,/storage/bigdata/NSD_stimulus/train2017/000000336406.jpg,1,99,2
1,8,54,/storage/bigdata/NSD_stimulus/train2017/000000339643.jpg,1,102,2
1,8,55,/storage/bigdata/NSD_stimulus/train2017/000000167671.jpg,1,112,2
1,8,56,/storage/bigdata/NSD_stimulus/train2017/000000205811.jpg,1,97,1
1,8,57,/storage/bigdata/NSD_stimulus/train2017/000000371730.jpg,1,98,1
1,8,58,/storage/bigdata/NSD_stimulus/train2017/000000135984.jpg,1,108,2
1,8,59,/storage/bigdata/NSD_stimulus/train2017/000000534459.jpg,1,113,2
1,8,60,/storage/bigdata/NSD_stimulus/train2017/000000513887.jpg,1,241,2
1,8,61,/storage/bigdata/NSD_stimulus/train2017/000000577564.jpg,1,60,2
1,8,62,/storage/bigdata/NSD_stimulus/train2017/000000510430.jpg,1,111,1
1,9,1,/storage/bigdata/NSD_stimulus/train2017/000000385438.jpg,1,183,1
